person_age,person_income,person_emp_length,person_home_ownership,loan_intent,loan_amnt,loan_int_rate,credit_score,loan_status
55,51349,14,rent,education,11265,17.04,498,0
53,96777,5,mortgage,education,33152,17.7,415,0
25,70248,11,own,education,28724,5.86,614,0
62,95033,7,rent,home_improvement,31624,25.0,519,0
59,127411,12,mortgage,debt_consolidation,35119,12.28,433,0
61,118239,18,own,home_improvement,30389,6.23,421,0
48,64041,0,own,personal,17650,22.05,720,0
27,51954,10,rent,medical,27014,24.86,791,0
29,28002,19,rent,medical,11885,21.33,588,0
28,89783,0,mortgage,education,8434,22.04,352,1
32,127524,7,mortgage,education,31028,17.52,504,1
54,107234,4,mortgage,personal,2022,23.45,647,0
53,144857,16,own,home_improvement,25331,5.71,350,0
43,39738,7,own,business,3037,20.33,339,0
44,30703,9,mortgage,business,9756,18.41,549,0
57,133776,1,rent,business,18443,5.99,517,0
55,69422,8,own,debt_consolidation,35192,15.88,478,1
64,103106,2,own,personal,5123,15.3,482,0
60,81899,17,mortgage,medical,17603,18.83,463,0
42,32392,6,rent,medical,1405,6.55,676,0
47,64724,14,own,home_improvement,19702,21.11,796,0
55,52299,19,rent,personal,27250,7.79,760,0
21,35641,17,own,debt_consolidation,22442,13.37,773,0
55,99534,2,rent,personal,18693,22.63,336,0
57,26305,13,rent,personal,25005,16.21,618,0
34,118262,1,own,home_improvement,38697,12.59,711,0
23,38782,13,rent,debt_consolidation,29988,5.96,655,0
21,98257,10,own,business,33333,18.45,528,0
25,125299,15,own,medical,30992,24.73,563,0
46,97963,7,rent,education,10522,23.24,786,0
34,132086,6,own,business,13121,19.35,651,0
59,141987,10,rent,debt_consolidation,15219,7.11,741,0
47,40566,2,own,medical,2617,9.79,758,0
29,144591,16,rent,business,25276,8.74,324,1
35,87766,13,own,home_improvement,35351,12.11,430,1
35,26511,5,own,debt_consolidation,7704,9.71,669,1
46,134816,7,mortgage,debt_consolidation,18959,9.89,735,0
62,127765,4,own,medical,29522,17.33,523,0
33,138360,7,own,medical,10953,11.37,651,0
52,46177,1,rent,personal,27567,18.54,784,1
59,24765,14,rent,personal,23560,23.96,496,1
52,40354,11,rent,debt_consolidation,3613,17.77,408,0
24,43929,16,rent,education,37660,20.03,519,0
50,48820,0,mortgage,home_improvement,38199,20.03,618,0
57,131576,14,mortgage,medical,25496,11.61,381,0
43,49523,13,rent,personal,18765,5.3,836,0
59,91088,19,rent,home_improvement,26721,6.1,731,1
35,86163,15,rent,business,4515,10.64,307,0
63,97525,8,rent,business,5454,18.79,448,0
49,33780,0,own,debt_consolidation,23873,23.13,397,0
56,26589,16,rent,medical,9384,24.18,400,0
33,54812,12,own,business,14727,5.52,666,0
52,113664,4,rent,medical,4534,24.8,761,0
27,65939,9,mortgage,personal,34523,11.45,713,0
42,71493,5,mortgage,business,32889,21.86,558,0
48,124188,18,rent,education,26465,8.61,655,0
22,113326,12,mortgage,business,31593,6.26,310,1
62,60953,0,mortgage,medical,22330,12.57,715,0
26,85785,19,mortgage,education,9302,22.18,549,0
48,39309,14,mortgage,home_improvement,13907,9.42,849,1
48,74195,13,own,business,25430,8.08,421,1
64,135662,7,own,medical,8181,23.2,364,0
64,45901,9,own,business,13875,23.77,601,0
40,43576,8,own,business,28219,5.25,424,1
50,51508,16,rent,medical,37182,19.55,611,0
31,94711,8,mortgage,education,16005,11.18,490,0
48,45464,2,mortgage,personal,15245,12.49,749,1
45,80281,10,rent,business,7457,14.38,458,1
59,36260,11,rent,debt_consolidation,7749,13.54,652,0
53,144997,9,own,home_improvement,34064,15.3,562,1
21,55440,16,own,medical,10821,16.65,705,0
47,115082,16,mortgage,business,33761,14.31,316,1
33,125583,10,rent,personal,39051,19.03,559,1
61,76683,3,mortgage,medical,14119,19.37,654,0
23,144206,6,rent,business,8664,13.81,788,0
59,61430,13,own,home_improvement,30281,7.85,513,0
26,21987,6,mortgage,debt_consolidation,32821,17.81,538,1
28,134778,7,mortgage,medical,39233,20.46,479,1
47,45105,0,rent,business,25647,17.76,718,0
29,98484,3,mortgage,education,5382,16.76,442,0
57,138747,11,own,personal,17449,9.59,616,0
53,33026,2,mortgage,debt_consolidation,18263,17.9,543,0
62,88309,12,rent,medical,25643,11.7,531,0
64,65927,19,mortgage,business,10408,23.39,602,0
44,95414,5,own,debt_consolidation,24606,18.07,630,0
35,77535,10,rent,education,28603,10.56,547,1
52,62946,3,rent,medical,6069,14.46,582,0
52,146503,19,own,debt_consolidation,20623,21.93,586,0
44,76561,15,rent,medical,17891,11.71,331,0
61,30377,6,rent,medical,8704,15.51,799,0
32,73592,10,mortgage,debt_consolidation,29290,18.59,829,0
59,27347,0,rent,medical,28460,20.09,680,0
22,53776,6,mortgage,education,18509,8.48,362,1
23,23783,11,own,debt_consolidation,18269,16.3,427,0
57,75798,6,own,business,8975,23.24,827,0
37,24298,6,own,debt_consolidation,7565,24.37,462,0
22,90204,9,own,education,23467,18.12,550,0
22,106207,15,rent,education,5870,24.67,594,0
48,120356,7,rent,education,19909,16.41,478,0
43,75161,8,mortgage,business,10117,13.85,528,0
57,80652,8,mortgage,business,2938,16.03,693,0
52,54484,1,mortgage,medical,29390,7.31,695,0
53,118614,12,rent,medical,37000,13.03,371,0
21,149572,12,mortgage,home_improvement,21128,14.17,617,0
39,132695,3,rent,medical,32781,21.97,678,0
22,40922,11,own,education,4465,20.17,435,0
64,54028,16,rent,home_improvement,1440,17.03,677,0
46,131461,1,own,education,6413,11.95,418,0
52,40316,12,mortgage,personal,12663,8.74,829,0
26,96996,17,rent,business,39523,11.96,822,0
52,36968,14,mortgage,debt_consolidation,38780,18.6,686,0
24,50266,7,mortgage,personal,20547,10.26,568,0
31,145679,14,own,business,17126,13.54,823,0
37,115745,0,mortgage,business,1005,12.74,846,0
58,44000,19,rent,education,38544,20.31,785,0
44,143239,9,mortgage,medical,8038,22.68,737,0
25,34011,11,own,debt_consolidation,7414,18.99,410,0
54,22866,4,own,medical,23123,11.83,621,1
26,132669,8,mortgage,medical,4970,13.66,826,0
42,25898,7,own,debt_consolidation,12050,7.87,476,0
31,38395,15,mortgage,debt_consolidation,3606,8.36,837,0
36,59019,13,own,personal,17482,8.29,772,0
53,123243,12,mortgage,education,34293,7.61,687,0
29,24006,12,mortgage,medical,7337,8.59,397,0
26,54393,4,rent,education,34948,9.05,710,0
36,30956,15,rent,education,25451,7.24,674,0
49,70042,10,mortgage,home_improvement,27265,17.81,469,0
23,116199,4,rent,personal,26714,24.81,355,0
40,26078,12,rent,medical,21875,22.58,624,0
56,49631,10,own,business,14057,5.91,559,0
39,115676,18,rent,debt_consolidation,33400,13.46,639,0
46,141724,2,own,debt_consolidation,6922,22.19,703,0
23,82901,14,rent,education,4071,7.69,831,1
39,127227,6,rent,personal,23025,21.95,473,0
40,89497,6,mortgage,personal,28503,16.85,837,0
52,114813,5,rent,medical,24765,23.63,459,0
27,137192,2,mortgage,medical,36560,22.52,309,0
61,61574,12,mortgage,education,33782,18.54,555,0
53,138494,6,mortgage,education,19799,18.16,643,0
60,51417,4,mortgage,education,36453,9.26,835,0
59,108020,17,rent,home_improvement,28476,7.34,672,1
38,103639,7,mortgage,personal,17212,13.31,734,0
60,85006,16,rent,education,10428,8.73,345,0
21,114881,19,rent,personal,32419,7.05,354,1
31,131862,0,own,business,9159,11.05,377,1
48,59454,13,own,debt_consolidation,25310,22.21,790,0
45,21587,16,own,debt_consolidation,37868,5.34,571,1
43,141688,9,mortgage,personal,7004,10.85,849,0
51,128107,11,rent,business,39289,13.48,410,0
50,135584,15,rent,debt_consolidation,12412,15.21,314,0
62,74710,13,mortgage,debt_consolidation,12755,8.63,377,0
55,143157,15,own,debt_consolidation,20017,24.28,800,0
27,106567,7,own,medical,4890,16.58,717,0
36,111748,9,rent,business,29840,15.44,574,1
46,95886,16,rent,medical,18175,5.18,793,0
22,38816,17,rent,personal,10191,14.71,496,0
21,105824,19,own,personal,1151,21.75,675,0
32,49432,15,rent,home_improvement,20447,9.39,362,0
25,129758,16,own,medical,23751,12.02,660,0
57,68617,15,own,personal,30175,5.41,843,0
52,92373,18,own,medical,25288,24.54,409,0
29,54217,7,mortgage,home_improvement,38367,6.33,493,0
61,40884,5,mortgage,personal,13274,22.96,818,0
55,25454,5,rent,personal,13218,11.26,758,0
39,94960,8,own,personal,24792,16.75,600,0
36,122421,3,rent,personal,3977,18.59,795,0
23,127173,11,own,education,18226,7.82,448,0
40,63618,11,rent,business,30022,13.88,760,1
44,103948,16,rent,business,4793,11.51,438,0
53,82671,14,mortgage,medical,2659,6.13,591,0
44,67111,8,mortgage,medical,38930,21.66,634,0
31,59613,6,mortgage,medical,17040,5.9,483,0
28,105678,9,mortgage,home_improvement,5270,18.07,606,0
56,140592,15,own,education,14286,11.28,561,1
58,122928,11,rent,medical,4603,8.84,609,0
60,144917,6,rent,medical,18600,18.34,643,0
40,79993,17,own,personal,3291,16.49,723,0
55,148652,14,own,personal,14123,11.31,813,0
45,28848,5,rent,personal,4811,15.26,823,0
55,134853,11,mortgage,medical,14347,9.92,560,0
45,98672,10,mortgage,personal,32276,22.27,661,0
49,139279,19,mortgage,medical,16513,11.28,468,1
38,86125,2,own,home_improvement,6142,9.9,499,0
38,106444,1,rent,home_improvement,24246,20.04,684,0
22,137509,5,own,debt_consolidation,26507,5.35,611,0
55,81602,4,rent,education,27714,10.36,611,0
36,92045,17,mortgage,personal,13194,12.51,694,0
61,125997,15,mortgage,business,8526,22.64,650,0
56,62222,7,mortgage,personal,20362,24.01,327,0
53,69223,19,rent,education,5595,19.33,432,0
24,130012,10,mortgage,education,31394,14.85,679,0
53,131246,9,rent,debt_consolidation,16402,17.81,827,0
34,85333,11,own,education,28140,13.28,586,0
41,72732,5,mortgage,medical,23595,10.98,583,1
40,142650,19,own,personal,25911,24.01,526,1
28,69420,4,own,education,26752,7.31,726,0
27,95504,8,rent,medical,20405,11.93,326,0
23,22462,15,own,education,25220,22.98,631,0
37,29460,13,rent,business,34953,19.46,416,1
53,119319,7,rent,medical,37053,5.58,388,0
32,145602,19,own,home_improvement,4447,5.46,421,0
42,29275,18,rent,medical,11662,15.33,332,0
42,114213,13,rent,debt_consolidation,5899,14.69,697,0
50,33269,6,rent,medical,29582,13.86,824,0
58,149593,4,own,education,2935,11.05,323,1
58,142672,17,rent,home_improvement,11335,24.73,624,0
28,85942,1,mortgage,home_improvement,18669,10.44,333,0
47,92920,10,own,medical,9545,14.8,546,0
47,140737,7,own,education,39023,13.1,318,0
54,42553,0,rent,home_improvement,19269,8.4,329,0
41,44366,11,own,business,38830,9.05,348,0
50,64036,1,mortgage,medical,8066,23.37,479,0
53,37369,17,own,medical,11712,22.17,669,1
48,31795,6,own,medical,16991,8.98,694,1
53,90021,16,own,home_improvement,36790,22.51,795,0
25,127205,13,rent,personal,22649,9.18,730,0
39,88154,6,mortgage,education,35315,17.53,506,1
24,50143,2,mortgage,debt_consolidation,31806,6.63,334,0
55,49425,5,mortgage,debt_consolidation,13210,22.61,712,0
37,108209,19,own,education,37972,6.03,663,0
64,95139,1,mortgage,personal,35136,16.1,609,0
48,125232,16,rent,education,16945,20.59,578,0
50,25368,11,own,medical,30665,7.34,451,0
49,24621,11,rent,business,14644,13.09,526,0
26,78829,16,own,education,5917,5.84,542,0
55,149036,9,rent,education,20868,18.66,309,0
61,80294,2,own,business,12877,11.15,691,0
57,34719,19,rent,home_improvement,14224,16.19,347,0
44,49227,17,mortgage,debt_consolidation,4052,23.65,503,0
49,129430,12,own,debt_consolidation,28272,11.12,456,0
51,27566,11,own,medical,31668,5.97,325,0
55,32306,16,rent,business,18316,18.51,720,0
53,73822,3,rent,medical,8240,20.74,563,0
41,44042,9,rent,home_improvement,32559,24.16,828,0
52,35086,10,own,medical,4238,8.16,769,1
43,37387,5,rent,business,1565,12.84,553,0
53,47042,5,mortgage,business,22762,21.88,845,0
23,109424,8,rent,personal,6558,21.14,446,0
38,71618,14,rent,home_improvement,17375,17.5,625,0
45,112050,1,rent,business,26710,10.39,637,1
62,38323,3,mortgage,business,12103,10.68,417,0
51,38019,4,rent,home_improvement,16174,7.48,464,1
23,95426,16,rent,education,22793,23.44,849,0
60,60863,7,own,education,28597,8.46,497,0
44,140953,7,own,personal,9753,16.46,673,0
52,131023,11,rent,business,39397,16.69,428,0
42,30283,7,own,home_improvement,7318,12.39,713,0
43,38279,18,rent,home_improvement,34069,12.05,679,0
22,66999,2,rent,education,21151,18.37,300,0
47,82780,17,mortgage,debt_consolidation,9701,12.77,466,0
62,42908,18,rent,debt_consolidation,7962,10.1,315,0
22,81584,18,own,business,39197,12.98,411,0
46,146278,14,own,education,31041,21.15,667,0
37,133002,5,own,business,8248,24.33,401,0
60,70225,15,own,medical,20829,17.72,705,0
53,57952,7,rent,home_improvement,3203,20.64,806,0
29,120706,15,mortgage,business,26370,15.66,339,1
63,57663,17,mortgage,personal,36247,17.5,847,0
59,142019,19,rent,debt_consolidation,11386,24.76,680,0
49,129708,15,own,business,1434,13.77,815,0
62,81381,10,mortgage,medical,35474,6.33,796,0
46,67929,6,mortgage,home_improvement,25644,24.14,580,0
55,29343,16,rent,medical,39493,20.86,650,1
45,96173,16,own,business,19288,12.97,633,0
44,120260,11,mortgage,home_improvement,4959,24.65,823,0
33,59791,12,rent,home_improvement,12143,11.91,582,0
27,49134,9,mortgage,education,23540,12.44,618,0
56,132366,6,mortgage,education,36481,17.19,713,0
40,67101,13,own,personal,30969,10.49,313,1
21,89443,0,own,personal,12561,18.97,355,1
28,119111,16,mortgage,medical,23578,8.06,702,0
36,77530,3,own,education,13787,7.16,641,0
34,66799,4,mortgage,home_improvement,7512,15.7,498,0
32,24827,19,mortgage,education,11596,16.11,591,0
43,116143,6,mortgage,home_improvement,32746,7.13,740,1
35,82653,9,rent,education,20930,24.28,377,0
48,33699,16,own,home_improvement,31201,16.47,411,1
54,122828,6,own,medical,19687,8.02,834,0
22,133497,0,mortgage,education,36989,11.23,674,1
52,111419,6,own,debt_consolidation,31183,21.0,415,0
43,134527,10,mortgage,debt_consolidation,21758,15.46,441,1
42,136972,8,own,home_improvement,2082,8.76,496,0
45,25313,11,own,medical,31832,7.06,839,0
42,33598,2,mortgage,home_improvement,18976,13.62,598,0
42,131362,3,own,medical,39376,11.75,375,0
62,135445,3,mortgage,personal,6526,18.12,829,0
26,48807,12,rent,education,32086,23.5,399,0
35,90423,18,mortgage,medical,22563,9.95,778,0
63,89390,9,own,home_improvement,7472,22.1,767,0
57,65226,4,rent,personal,3775,23.41,591,0
53,79550,6,rent,home_improvement,16828,23.04,424,0
28,100072,15,mortgage,debt_consolidation,18974,24.04,818,0
64,23558,0,rent,debt_consolidation,23388,21.84,322,0
64,95308,11,mortgage,education,16055,16.87,461,0
25,70113,1,own,business,19615,13.2,805,0
59,72999,6,mortgage,education,38886,14.83,320,1
24,75878,10,rent,personal,23838,22.45,763,0
26,56343,12,mortgage,debt_consolidation,13464,11.03,782,0
52,78219,1,mortgage,medical,8240,8.19,801,1
50,55186,6,own,debt_consolidation,5942,7.82,608,0
55,56966,14,mortgage,business,20622,21.54,502,1
60,53769,10,own,education,14536,20.23,715,0
36,139932,1,rent,home_improvement,2600,14.95,441,0
33,146264,6,rent,personal,6700,10.5,406,0
62,125423,3,mortgage,business,39839,18.55,828,1
50,73218,10,mortgage,debt_consolidation,11248,5.77,836,0
39,39229,1,rent,medical,18093,16.36,590,1
37,95209,15,rent,business,20355,12.97,610,0
39,47877,6,rent,medical,18177,24.56,684,0
48,78001,12,mortgage,medical,20483,15.15,352,1
46,117137,4,rent,personal,39533,16.05,482,0
57,58084,16,mortgage,medical,1026,19.25,668,0
46,101780,11,rent,medical,22706,14.69,312,0
43,112892,18,rent,debt_consolidation,25660,9.49,459,0
29,36806,6,mortgage,personal,17258,15.75,583,0
32,108635,5,own,home_improvement,39077,23.89,586,0
21,130177,7,mortgage,home_improvement,33779,13.2,307,1
21,57034,12,own,medical,25154,18.59,371,1
54,60317,4,mortgage,business,30684,24.56,397,1
52,75468,1,own,education,16389,21.6,386,0
45,39094,8,own,personal,27324,18.18,400,0
60,77796,10,own,education,28685,19.72,580,1
21,30589,5,mortgage,personal,28195,23.73,588,0
36,77221,6,mortgage,personal,22797,24.2,495,0
59,144855,6,mortgage,debt_consolidation,6774,24.38,690,0
25,21657,18,own,medical,32633,17.51,749,1
42,118300,5,own,debt_consolidation,1796,12.69,667,0
49,137229,10,mortgage,business,29389,7.66,729,0
23,59531,10,mortgage,education,8188,12.71,395,0
32,72227,6,rent,education,24696,23.86,560,0
46,23164,1,rent,home_improvement,3024,22.8,811,0
36,113078,18,rent,business,8666,15.47,420,0
57,103973,3,rent,business,36985,15.74,665,0
42,61247,5,rent,debt_consolidation,7584,11.18,631,0
49,124041,16,mortgage,debt_consolidation,26462,14.09,351,0
34,39601,4,own,business,28044,19.29,695,0
48,113966,6,own,debt_consolidation,6285,13.05,617,0
25,70599,8,mortgage,home_improvement,8370,8.76,576,0
50,91545,0,mortgage,debt_consolidation,18903,15.82,493,0
25,135295,0,mortgage,debt_consolidation,33499,9.51,320,1
32,24552,18,rent,business,33368,24.49,698,1
36,136452,5,rent,business,23995,12.81,501,0
46,29417,17,rent,debt_consolidation,36200,23.19,765,1
46,78579,9,mortgage,debt_consolidation,23841,9.51,450,0
41,127525,10,mortgage,business,5866,8.78,458,0
59,88207,0,own,education,14566,17.34,609,0
56,92055,0,mortgage,medical,38822,20.59,803,0
53,122266,12,rent,education,29552,16.34,325,0
50,98270,4,own,debt_consolidation,35549,9.6,365,0
57,131426,19,mortgage,personal,25914,5.76,562,0
43,137865,0,own,personal,23333,17.37,771,0
30,23722,19,own,home_improvement,16958,7.62,466,0
25,90442,2,mortgage,education,21954,11.86,453,0
56,115632,17,rent,business,10638,18.52,642,0
54,60031,8,rent,home_improvement,35147,6.96,712,0
51,99235,13,own,home_improvement,10675,7.55,483,0
30,41438,16,mortgage,personal,25054,6.23,493,0
39,78819,13,mortgage,education,32661,24.92,301,0
52,63856,3,rent,medical,18184,12.74,514,0
21,53576,4,mortgage,business,26822,23.12,782,0
25,61938,16,mortgage,education,11929,10.87,331,0
24,69028,1,own,home_improvement,6267,20.06,314,0
36,79807,4,mortgage,debt_consolidation,37025,9.38,617,1
44,69877,3,mortgage,home_improvement,13069,14.97,542,0
36,117783,3,mortgage,education,1981,21.49,316,1
22,63461,5,rent,personal,19472,21.33,833,0
48,113474,19,rent,education,20336,20.89,380,0
52,60469,12,own,medical,26587,21.47,735,0
47,103136,4,rent,business,12656,9.23,307,0
40,40435,6,rent,business,28326,14.64,586,0
44,104117,19,rent,debt_consolidation,19510,14.7,485,1
32,34191,0,rent,debt_consolidation,19975,22.81,823,0
55,104726,13,own,home_improvement,10665,10.94,721,0
53,143658,3,mortgage,education,28097,23.63,765,0
53,135660,16,mortgage,business,26741,14.02,382,0
63,47386,13,mortgage,personal,7437,18.4,782,0
57,51721,15,own,medical,26185,10.38,624,0
32,74786,13,rent,home_improvement,11375,13.21,718,0
23,33704,15,own,education,28107,19.2,350,1
21,76635,19,own,personal,31484,15.25,326,0
53,22123,7,own,education,36629,23.61,844,1
60,110710,2,mortgage,personal,26835,19.74,361,1
30,129837,18,rent,education,30743,16.29,470,0
63,134912,0,mortgage,education,31917,22.73,585,1
64,82993,1,own,business,39995,18.31,416,1
49,132752,14,own,home_improvement,12424,17.95,303,0
33,100122,9,mortgage,education,10643,9.93,365,0
32,117512,17,mortgage,education,11310,12.9,359,0
51,45416,13,mortgage,home_improvement,19951,18.67,801,0
22,21814,16,rent,home_improvement,27568,22.84,528,0
55,98537,12,mortgage,debt_consolidation,16233,11.31,399,0
43,70258,0,rent,debt_consolidation,14200,9.31,418,0
37,36508,4,rent,business,22548,16.87,368,1
46,105166,12,mortgage,home_improvement,11532,6.34,520,0
28,98916,13,own,medical,24465,19.29,522,0
49,133710,2,own,business,22291,19.06,803,0
46,55699,14,rent,personal,31580,12.1,510,1
30,66335,18,rent,home_improvement,27149,22.85,561,1
46,66806,16,rent,debt_consolidation,22346,15.04,817,0
54,97853,2,own,education,11619,17.92,547,0
61,83768,15,rent,home_improvement,2766,9.19,556,1
27,55739,13,rent,home_improvement,4549,13.35,362,0
24,54785,11,own,debt_consolidation,19693,22.25,691,0
31,51980,11,mortgage,debt_consolidation,32922,9.26,839,0
49,109335,10,own,medical,35744,12.81,716,1
56,120719,16,mortgage,business,13165,11.36,352,1
45,114702,7,mortgage,debt_consolidation,24564,8.02,337,1
41,105016,16,rent,debt_consolidation,36258,10.79,607,0
56,21609,19,rent,debt_consolidation,26301,9.66,352,1
30,86253,10,mortgage,business,21765,23.47,751,0
57,105481,1,rent,education,8425,19.82,760,0
29,111128,9,mortgage,home_improvement,13857,11.32,785,0
44,48141,9,rent,home_improvement,28463,20.27,436,0
55,50009,10,own,debt_consolidation,23444,5.44,671,0
55,147581,5,mortgage,business,37744,15.53,555,1
56,130966,3,mortgage,medical,15205,10.01,694,0
38,26782,11,rent,debt_consolidation,1704,7.29,336,0
59,112072,10,own,business,6452,22.68,446,0
52,119352,12,rent,business,39862,8.99,307,0
44,45933,4,own,medical,4681,21.45,550,1
43,97154,5,rent,business,21522,13.26,746,0
52,28307,0,mortgage,home_improvement,19300,5.29,562,0
57,112207,5,own,medical,10566,19.65,738,0
32,126209,17,own,medical,8501,16.93,558,0
33,128297,8,rent,personal,2845,11.88,622,0
43,95874,14,own,medical,14230,10.63,829,0
45,58346,7,rent,medical,18754,6.47,600,0
55,132138,18,own,education,35404,23.83,784,0
61,70772,15,rent,home_improvement,23564,14.88,391,0
50,92084,5,rent,debt_consolidation,33362,6.71,463,0
37,60149,5,rent,personal,19227,22.37,634,0
40,106700,2,mortgage,medical,25760,10.58,614,0
45,47526,9,own,education,30723,9.07,537,1
42,116758,0,mortgage,education,18215,10.62,382,1
33,105712,13,mortgage,business,6538,16.29,408,0
39,148447,3,mortgage,debt_consolidation,22699,6.48,477,0
56,88477,11,mortgage,debt_consolidation,13454,14.64,549,1
32,25695,5,own,home_improvement,22711,22.91,390,1
61,59169,10,own,business,16059,8.76,638,0
39,67947,11,mortgage,medical,2286,11.62,468,0
32,67224,9,own,education,35297,12.92,438,0
29,65865,17,own,personal,35645,16.72,816,0
27,45553,6,rent,home_improvement,27485,23.39,483,0
48,124501,6,own,medical,33267,12.89,469,0
34,80410,10,mortgage,business,28086,6.38,661,0
51,123754,3,own,debt_consolidation,17484,11.96,543,0
39,110895,19,mortgage,business,4087,8.8,437,0
36,44816,0,own,medical,39596,18.04,327,0
25,75026,12,mortgage,business,19675,5.59,818,0
55,70705,17,own,debt_consolidation,25680,10.84,697,0
